ds,statefips,y,yhat,yhat_upper,yhat_lower
2020-01-13,2,0.0424,-0.045735974,0.0330204,-0.122520566
2020-01-14,2,0.0643,-0.046327055,0.03035544,-0.13109693
2020-01-15,2,-0.00258,-0.045367215,0.037855856,-0.12094906
2020-01-16,2,-0.0513,-0.044882283,0.03285614,-0.12041822
2020-01-17,2,-0.0527,-0.04909232,0.026173953,-0.12829354
2020-01-18,2,-0.0306,-0.046679813,0.03173434,-0.12559883
2020-01-19,2,-0.0389,-0.047410354,0.030740144,-0.12818824
2020-01-20,2,-0.0752,-0.049708974,0.029653752,-0.12651268
2020-01-21,2,-0.0818,-0.050300054,0.022425374,-0.12456775
2020-01-22,2,-0.0314,-0.049340215,0.029070795,-0.1283579
2020-01-23,2,0.0117,-0.048855282,0.027395112,-0.12585993
2020-01-24,2,0.0341,-0.05306532,0.019736476,-0.13483205
2020-01-25,2,-0.00318,-0.050652813,0.027593337,-0.12863913
2020-01-26,2,-0.0126,-0.051383354,0.029497825,-0.12921986
2020-01-27,2,0.00609,-0.05368197,0.029949866,-0.12990847
2020-01-28,2,-0.00902,-0.054273054,0.021936841,-0.13143788
2020-01-29,2,-0.034,-0.05331321,0.027470818,-0.1277582
2020-01-30,2,-0.0106,-0.05282828,0.02589439,-0.13249628
2020-01-31,2,-0.00416,-0.057038315,0.021075614,-0.13259463
2020-02-01,2,0.014,-0.054625813,0.025217125,-0.12824926
2020-02-02,2,0.000441,-0.055356354,0.020549672,-0.13784178
2020-02-03,2,0.00802,-0.05765497,0.022888111,-0.13600123
2020-02-04,2,-0.0185,-0.05824605,0.017700527,-0.13775118
2020-02-05,2,0.00242,-0.05728621,0.016074011,-0.13815902
2020-02-06,2,-0.0214,-0.05680128,0.024488052,-0.13431233
2020-02-07,2,-0.0187,-0.061011314,0.0135964975,-0.1402352
2020-02-08,2,-0.00648,-0.058598813,0.018839454,-0.1351789
2020-02-09,2,0.000691,-0.05932935,0.016748836,-0.13913286
2020-02-10,2,-0.0211,-0.06162797,0.0154343555,-0.1355424
2020-02-11,2,0.0104,-0.06221905,0.015481288,-0.14229299
2020-02-12,2,0.00218,-0.06125921,0.01933439,-0.13894323
2020-02-13,2,0.0334,-0.060774278,0.020875886,-0.13725905
2020-02-14,2,0.0457,-0.064984314,0.009898943,-0.14157625
2020-02-15,2,0.0315,-0.06257181,0.014091446,-0.14167306
2020-02-16,2,0.0436,-0.06330235,0.018504353,-0.1426463
2020-02-17,2,0.0593,-0.06560097,0.015077886,-0.1413108
2020-02-18,2,0.0447,-0.066192046,0.008083624,-0.14735979
2020-02-19,2,0.0421,-0.06523221,0.016035078,-0.14080842
